"PLAYER","WINDOW","POSITION","COUNTRY","FROM","TO","DESCRIPTION","PRICE","LEAGUE","SEASON"
"Andy Carroll","Pre-Season","Attacker","England","Liverpool","West Ham","Sold",18000000,"EPL","13/14"
"Wilfried Zaha","Mid-Season",NA,"England","Crystal Palace","Manchester United","Sold",18000000,"EPL","12/13"
"Ashley Young","Pre-Season","Attacker","England","Aston Villa","Manchester United","Sold",18000000,"EPL","11/12"
"Sulley Muntari","Pre-Season",NA,NA,"Portsmouth","Inter Milan","Sold",17700000,"Serie A","08/09"
"Nathaniel Clyne","Pre-Season","Defender","England","Southampton","Liverpool","Sold",17600000,"EPL","15/16"
"Jesus Navas","Pre-Season","Midfielder","Spain","Sevilla","Manchester City","Sold",17600000,"EPL","13/14"
"Kevin De Bruyne","Mid-Season","Midfielder","Belgium","Chelsea","Wolfsburg","Sold",17500000,"Bundesliga","13/14"
"Daley Blind","Pre-Season","Midfielder","Netherlands","Ajax","Manchester United","Sold",17500000,"EPL","14/15"
"Alex Oxlade-Chamberlain","Pre-Season","Midfielder","England","Southampton","Arsenal","Sold",17300000,"EPL","11/12"
"Marco Reus","Pre-Season","Attacker","Germany","Bor. Mgladbach","Bor. Dortmund","Sold",17100000,"Bundesliga","12/13"
"Lucho Gonzalez","Pre-Season",NA,NA,"Porto","Olympique Marseille","Sold",17000000,"ROE","09/10"
"Erik Lamela","Pre-Season","Midfielder","Argentina","River Plate","Roma","Sold",17000000,"Serie A","11/12"
"Asier Illarramendi","Pre-Season","Midfielder","Spain","Real Madrid","Real Sociedad","Sold",17000000,"La Liga","15/16"
"Florian Thauvin","Pre-Season","Midfielder","France","Marseille","Newcastle","Sold",17000000,"EPL","15/16"
"Xherdan Shaqiri","Pre-Season","Midfielder","Switzerland","Inter Milan","Stoke","Sold",17000000,"EPL","15/16"
"Salomon Rondon","Pre-Season","Attacker","Venezuela","Zenit","West Brom","Sold",17000000,"EPL","15/16"
"Kevin Strootman","Pre-Season","Midfielder","Netherlands","PSV Eindhoven","Roma","Sold",16500000,"Serie A","13/14"
"Lucas Digne","Pre-Season","Defender","France","PSG","Barcelona","Sold",16500000,"La Liga","16/17"
"Martin Caceres","Pre-Season",NA,NA,"Villarreal","Barcelona","Sold",16500000,"La Liga","08/09"
"Darren Bent","Pre-Season",NA,NA,"Tottenham","Sunderland","Sold",16500000,"EPL","09/10"
"Rafa Silva","Pre-Season","Midfielder","Portugal","Braga","Benfica","Sold",16400000,"ROE","16/17"
"Javi Garcia","Pre-Season","Midfielder","Spain","Manchester City","Zenit","Sold",16200000,"ROE","14/15"
"Fernandes","Pre-Season",NA,NA,"Benfica","Valencia","Sold",16000000,"La Liga","07/08"
"Mario Gomez","Pre-Season","Attacker","Germany","Bayern Munich","Fiorentina","Sold",16000000,"Serie A","13/14"
"Fabio Quagliarella","Pre-Season",NA,NA,"Udinese","Napoli","Sold",16000000,"Serie A","09/10"
"Jan Oblak","Pre-Season","Goalkeeper","Slovenia","Benfica","Atletico Madrid","Sold",16000000,"La Liga","14/15"
"Alessio Cerci","Pre-Season","Attacker","Italy","Torino","Atletico Madrid","Sold",16000000,"La Liga","14/15"
"Mesut Ozil","Pre-Season","Midfielder","Germany","Werder Bremen","Real Madrid","Sold",16000000,"La Liga","10/11"
"Didier Ndong","Pre-Season","Midfielder","Gabon","Lorient","Sunderland","Sold",16000000,"EPL","16/17"
"Jonjo Shelvey","Mid-Season",NA,"England","Swansea","Newcastle","Sold",16000000,"EPL","15/16"
"Asamoah Gyan","Pre-Season","Attacker","Ghana","Rennes","Sunderland","Sold",16000000,"EPL","10/11"
"Bernardo Silva","Mid-Season","Midfielder","Portugal","Benfica","Monaco","Sold",15750000,"ROE","14/15"
"Andros Townsend","Mid-Season",NA,"England","Tottenham","Newcastle","Sold",15700000,"EPL","15/16"
"Alessandro Matri","Pre-Season","Attacker","Italy","Cagliari","Juventus","Sold",15500000,"Serie A","11/12"
"Leonardo Bonucci","Pre-Season","Defender","Italy","Bari","Juventus","Sold",15500000,"Serie A","10/11"
"Nicolas Gaitan","Pre-Season","Midfielder","Argentina","Benfica","Atletico Madrid","Sold",15500000,"La Liga","16/17"
"Andros Townsend","Pre-Season","Midfielder","England","Newcastle","Crystal Palace","Sold",15500000,"EPL","16/17"
"Joe Allen","Pre-Season","Midfielder","Wales","Liverpool","Stoke","Sold",15500000,"EPL","16/17"
"Calum Chambers","Pre-Season","Defender","England","Southampton","Arsenal","Sold",15200000,"EPL","14/15"
"Nacer Chadli","Pre-Season","Midfielder","Belgium","Tottenham","West Brom","Sold",15200000,"EPL","16/17"
"E. Abidal","Pre-Season",NA,NA,"Lyon","Barcelona","Sold",15000000,"La Liga","07/08"
"Djibril Sidibe","Pre-Season","Defender","France","Lille","Monaco","Sold",15000000,"ROE","16/17"
"Ezequiel Garay","Pre-Season","Defender","Argentina","Benfica","Zenit","Sold",15000000,"ROE","14/15"
"Igor Denisov","Pre-Season","Midfielder","Russia","Anzhi","Dinamo Moscow","Sold",15000000,"ROE","13/14"
"Florian Thauvin","Pre-Season","Midfielder","France","Lille","Marseille","Sold",15000000,"ROE","13/14"
"Lucas Digne","Pre-Season","Defender","France","Lille","PSG","Sold",15000000,"ROE","13/14"
"Fred","Pre-Season","Midfielder","Brazil","Internacional","Shakhtar Donetsk","Sold",15000000,"ROE","13/14"
"Taison","Mid-Season","Attacker","Brazil","Metalist Kharkiv","Shakhtar Donetsk","Sold",15000000,"ROE","12/13"
"Luiz Gustavo","Mid-Season","Defender","Brazil","Hoffenheim","Bayern Munich","Sold",15000000,"Bundesliga","10/11"
"Loic Remy","Pre-Season","Attacker","France","Nice","Marseille","Sold",15000000,"ROE","10/11"
"Dmytro Chygrynskiy","Pre-Season","Defender","Ukraine","Barcelona","Shakhtar Donetsk","Sold",15000000,"ROE","10/11"
"Diego","Pre-Season","Midfielder","Brazil","Juventus","Wolfsburg","Sold",15000000,"ROE","10/11"
"Yoann Gourcuff","Pre-Season",NA,NA,"AC Milan","Bordeaux","Sold",15000000,"ROE","09/10"
"Aly Cissokho","Pre-Season",NA,NA,"Porto","Lyon","Sold",15000000,"ROE","09/10"
"Ousmane Dembele","Pre-Season","Attacker","France","Rennes","Bor. Dortmund","Sold",15000000,"Bundesliga","16/17"
"Christoph Kramer","Pre-Season","Midfielder","Germany","Bayer Leverkusen","Bor. Mgladbach","Sold",15000000,"Bundesliga","16/17"
"Jeffrey Bruma","Pre-Season","Defender","Netherlands","PSV Eindhoven","Wolfsburg","Sold",15000000,"Bundesliga","16/17"
"Luiz Gustavo","Pre-Season","Midfielder","Brazil","Bayern Munich","Wolfsburg","Sold",15000000,"Bundesliga","13/14"
"Luuk de Jong","Pre-Season","Attacker","Netherlands","Twente","Bor. Mgladbach","Sold",15000000,"Bundesliga","12/13"
"Mohamed Salah","Pre-Season","Midfielder","Egypt","Chelsea","Roma","Sold",15000000,"Serie A","16/17"
"Xherdan Shaqiri","Mid-Season","Midfielder","Switzerland","Bayern Munich","Inter Milan","Sold",15000000,"Serie A","14/15"
"Juan Iturbe","Pre-Season","Attacker","Argentina","Porto","Verona","Sold",15000000,"Serie A","14/15"
"Alvaro Pereira","Pre-Season","Midfielder","Uruguay","Porto","Inter Milan","Sold",15000000,"Serie A","12/13"
"Mirko Vucinic","Pre-Season","Attacker","Montenegro","Roma","Juventus","Sold",15000000,"Serie A","11/12"
"Milos Krasic","Pre-Season","Attacker","Serbia","CSKA Moscow","Juventus","Sold",15000000,"Serie A","10/11"
"Klaas-Jan Huntelaar","Pre-Season",NA,NA,"Real Madrid","AC Milan","Sold",15000000,"Serie A","09/10"
"Wesley Sneijder","Pre-Season",NA,NA,"Real Madrid","Inter Milan","Sold",15000000,"Serie A","09/10"
"Felipe Melo","Pre-Season",NA,NA,"Almeria","Fiorentina","Sold",15000000,"Serie A","08/09"
"Yannick Ferreira-Carrasco","Pre-Season","Midfielder","Belgium","Monaco","Atletico Madrid","Sold",15000000,"La Liga","15/16"
"Andre Gomes","Pre-Season","Midfielder","Portugal","Benfica","Valencia","Sold",15000000,"La Liga","15/16"
"Joao Cancelo","Pre-Season","Defender","Portugal","Benfica","Valencia","Sold",15000000,"La Liga","15/16"
"Franco Vazquez","Pre-Season","Attacker","Italy","Palermo","Sevilla","Sold",15000000,"La Liga","16/17"
"Raul Albiol","Pre-Season",NA,NA,"Valencia","Real Madrid","Sold",15000000,"La Liga","09/10"
"Alexander Hleb","Pre-Season",NA,NA,"Arsenal","Barcelona","Sold",15000000,"La Liga","08/09"
"Gabriel Paulista","Mid-Season",NA,"Brazil","Villarreal","Arsenal","Sold",15000000,"EPL","14/15"
"Alberto Moreno","Pre-Season","Defender","Spain","Sevilla","Liverpool","Sold",15000000,"EPL","14/15"
"Fernando","Pre-Season","Midfielder","Brazil","Porto","Manchester City","Sold",15000000,"EPL","14/15"
"Shane Long","Pre-Season","Attacker","Ireland","Hull City","Southampton","Sold",15000000,"EPL","14/15"
"Enner Valencia","Pre-Season","Attacker","Ecuador","Pachuca","West Ham","Sold",15000000,"EPL","14/15"
"Nampalys Mendy","Pre-Season","Midfielder","France","Nice","Leicester","Sold",15000000,"EPL","16/17"
"Pierre-Emile Hojbjerg","Pre-Season","Midfielder","Denmark","Bayern Munich","Southampton","Sold",15000000,"EPL","16/17"
"Roberto Pereyra","Pre-Season","Midfielder","Argentina","Juventus","Watford","Sold",15000000,"EPL","16/17"
"Toby Alderweireld","Pre-Season","Defender","Belgium","Atletico Madrid","Tottenham","Sold",15000000,"EPL","15/16"
"Dimitri Payet","Pre-Season","Midfielder","France","Marseille","West Ham","Sold",15000000,"EPL","15/16"
"Kurt Zouma","Mid-Season",NA,"France","Saint Etienne","Chelsea","Sold",15000000,"EPL","13/14"
"James McCarthy","Pre-Season","Midfielder","Ireland","Wigan","Everton","Sold",15000000,"EPL","13/14"
"Olivier Giroud","Pre-Season","Attacker","France","Montpellier","Arsenal","Sold",15000000,"EPL","12/13"
"Jack Rodwell","Pre-Season","Midfielder","England","Everton","Manchester City","Sold",15000000,"EPL","12/13"
"Shinji Kagawa","Pre-Season","Attacker","Japan","Bor. Dortmund","Manchester United","Sold",15000000,"EPL","12/13"
"Gaston Ramirez","Pre-Season","Midfielder","Uruguay","Bologna","Southampton","Sold",15000000,"EPL","12/13"
"Steven Fletcher","Pre-Season","Attacker","Scotland","Wolves","Sunderland","Sold",15000000,"EPL","12/13"
"A. Pato","Pre-Season",NA,NA,"Internacional","AC Milan","Sold",14500000,"Serie A","07/08"
"Amadou Diawara","Pre-Season","Midfielder","Guinea","Bologna","Napoli","Sold",14500000,"Serie A","16/17"
"Victor Wanyama","Pre-Season","Midfielder","Kenya","Celtic","Southampton","Sold",14500000,"EPL","13/14"
"Christopher Samba","Mid-Season",NA,"Congo","Anzhi","QPR","Sold",14500000,"EPL","12/13"
"Victor Wanyama","Pre-Season","Midfielder","Kenya","Southampton","Tottenham","Sold",14400000,"EPL","16/17"
"Marten de Roon","Pre-Season","Midfielder","Netherlands","Atalanta","Middlesbrough","Sold",14250000,"EPL","16/17"
"D. Suazo","Pre-Season",NA,NA,"Cagliari","Inter Milan","Sold",14000000,"Serie A","07/08"
"R. Drenthe","Pre-Season",NA,NA,"Feyenoord","Real Madrid","Sold",14000000,"La Liga","07/08"
"Adama Traore","Pre-Season","Midfielder","Mali","Lille","Monaco","Sold",14000000,"ROE","15/16"
"Christopher Samba","Pre-Season","Defender","Congo","QPR","Anzhi","Sold",14000000,"ROE","13/14"
"Balazs Dzsudzsak","Pre-Season","Midfielder","Hungary","PSV","Anzhi","Sold",14000000,"ROE","11/12"
"Christopher Samba","Mid-Season","Defender","Congo","Blackburn","Anzhi","Sold",14000000,"ROE","11/12"
"Filip Kostic","Pre-Season","Midfielder","Serbia","Stuttgart","Hamburg","Sold",14000000,"Bundesliga","16/17"
"Hakan Calhanoglu","Pre-Season","Midfielder","Turkey","Hamburg","Bayer Leverkusen","Sold",14000000,"Bundesliga","14/15"
"Roberto Pereyra","Pre-Season","Midfielder","Argentina","Udinese","Juventus","Sold",14000000,"Serie A","15/16"
"Radja Nainggolan","Pre-Season","Midfielder","Belgium","Cagliari","Roma","Sold",14000000,"Serie A","15/16"
"Piotr Zielinski","Pre-Season","Midfielder","Poland","Udinese","Napoli","Sold",14000000,"Serie A","16/17"
"Lucas Silva","Mid-Season","Midfielder","Brazil","Cruzeiro","Real Madrid","Sold",14000000,"La Liga","14/15"
"Jordi Alba","Pre-Season","Defender","Spain","Valencia","Barcelona","Sold",14000000,"La Liga","12/13"
"Sami Khedira","Pre-Season","Midfielder","Germany","Stuttgart","Real Madrid","Sold",14000000,"La Liga","10/11"
"Keirrison","Pre-Season",NA,NA,"Palmeiras","Barcelona","Sold",14000000,"La Liga","09/10"
"Alvaro Negredo","Pre-Season",NA,NA,"Real Madrid","Sevilla","Sold",14000000,"La Liga","09/10"
"Seydou Keita","Pre-Season",NA,NA,"Sevilla","Barcelona","Sold",14000000,"La Liga","08/09"
"Dusan Tadic","Pre-Season","Midfielder","Serbia","Twente","Southampton","Sold",14000000,"EPL","14/15"
"Ashley Williams","Pre-Season","Defender","Wales","Swansea","Everton","Sold",14000000,"EPL","16/17"
"Petr Cech","Pre-Season","Goalkeeper","Czech Rep.","Chelsea","Arsenal","Sold",14000000,"EPL","15/16"
"Yohan Cabaye","Pre-Season","Midfielder","France","PSG","Crystal Palace","Sold",14000000,"EPL","15/16"
"Fabio Borini","Pre-Season","Attacker","Italy","Liverpool","Sunderland","Sold",14000000,"EPL","15/16"
"Clinton N'Jie","Pre-Season","Attacker","Cameroon","Lyon","Tottenham","Sold",14000000,"EPL","15/16"
"Angelo Ogbonna","Pre-Season","Defender","Italy","Juventus","West Ham","Sold",14000000,"EPL","15/16"
"Kostas Mitroglou","Mid-Season",NA,"Greece","Olympiakos","Fulham","Sold",14000000,"EPL","13/14"
"Wilfried Bony","Pre-Season","Attacker","Ivory Coast","Vitesse","Swansea","Sold",14000000,"EPL","13/14"
"Fabio Borini","Pre-Season","Attacker","Italy","Roma","Liverpool","Sold",14000000,"EPL","12/13"
"Raul Meireles","Pre-Season","Midfielder","Portugal","Porto","Liverpool","Sold",14000000,"EPL","10/11"
"Stewart Downing","Pre-Season",NA,NA,"Middlesbrough","Aston Villa","Sold",14000000,"EPL","09/10"
"Gareth Barry","Pre-Season",NA,NA,"Aston Villa","Manchester City","Sold",13900000,"EPL","09/10"
"Roberto Soldado","Pre-Season","Attacker","Spain","Tottenham","Villarreal","Sold",13700000,"La Liga","15/16"
"Seydou Doumbia","Mid-Season","Attacker","Ivory Coast","CSKA Moscow","Roma","Sold",13500000,"Serie A","14/15"
"Mehdi Benatia","Pre-Season","Defender","Morocco","Udinese","Roma","Sold",13500000,"Serie A","13/14"
"Roberto Soriano","Pre-Season","Midfielder","Italy","Sampdoria","Villarreal","Sold",13500000,"La Liga","16/17"
"Filipe","Pre-Season","Defender","Brazil","Dep. La Coruna","Atletico Madrid","Sold",13500000,"La Liga","10/11"
"Nathan Redmond","Pre-Season","Midfielder","England","Norwich","Southampton","Sold",13500000,"EPL","16/17"
"Christian Eriksen","Pre-Season","Midfielder","Denmark","Ajax","Tottenham","Sold",13500000,"EPL","13/14"
"Matt Jarvis","Pre-Season","Midfielder","England","Wolves","West Ham","Sold",13500000,"EPL","12/13"
"Loic Remy","Pre-Season","Attacker","France","QPR","Chelsea","Sold",13300000,"EPL","14/15"
"Benik Afobe","Mid-Season",NA,"England","Wolves","Bournemouth","Sold",13300000,"EPL","15/16"
"Ramiro Funes Mori","Pre-Season","Defender","Argentina","River Plate","Everton","Sold",13300000,"EPL","15/16"
"Mohamed Salah","Mid-Season",NA,"Egypt","Basel","Chelsea","Sold",13200000,"EPL","13/14"
"C. Chivu","Pre-Season",NA,NA,"Roma","Inter Milan","Sold",13000000,"Serie A","07/08"
"Tiago","Pre-Season",NA,NA,"Lyon","Juventus","Sold",13000000,"Serie A","07/08"
"Garcia R","Pre-Season",NA,NA,"Osasuna","Atletico Madrid","Sold",13000000,"La Liga","07/08"
"Benjamin Mendy","Pre-Season","Defender","France","Marseille","Monaco","Sold",13000000,"ROE","16/17"
"Aymen Abdennour","Pre-Season","Defender","Tunisia","Toulouse","Monaco","Sold",13000000,"ROE","14/15"
"Emmanuel Emenike","Pre-Season","Attacker","Nigeria","Spartak Moscow","Fenerbahce","Sold",13000000,"ROE","13/14"
"Eduardo Salvio","Pre-Season","Attacker","Argentina","Atletico Madrid","Benfica","Sold",13000000,"ROE","12/13"
"Danilo","Pre-Season","Midfielder","Brazil","Santos","Porto","Sold",13000000,"ROE","11/12"
"Manuel Jurado","Pre-Season","Midfielder","Spain","Atletico Madrid","Schalke","Sold",13000000,"ROE","10/11"
"Klaas-Jan Huntelaar","Pre-Season","Attacker","Netherlands","AC Milan","Schalke","Sold",13000000,"ROE","10/11"
"Bafetimbi Gomis","Pre-Season",NA,NA,"St Etienne","Lyon","Sold",13000000,"ROE","09/10"
"Javier Hernandez","Pre-Season","Attacker","Mexico","Manchester United","Bayer Leverkusen","Sold",13000000,"Bundesliga","15/16"
"Sebastian Rode","Pre-Season","Midfielder","Germany","Bayern Munich","Bor. Dortmund","Sold",13000000,"Bundesliga","16/17"
"Yannick Gerhardt","Pre-Season","Midfielder","Germany","FC Koln","Wolfsburg","Sold",13000000,"Bundesliga","16/17"
"Pierre Aubameyang","Pre-Season","Attacker","Gabon","Saint Etienne","Bor. Dortmund","Sold",13000000,"Bundesliga","13/14"
"Mario Mandzukic","Pre-Season","Attacker","Croatia","Wolfsburg","Bayern Munich","Sold",13000000,"Bundesliga","12/13"
"Rafael van der Vaart","Pre-Season","Midfielder","Netherlands","Tottenham","Hamburg","Sold",13000000,"Bundesliga","12/13"
"Stephan El Shaarawy","Pre-Season","Attacker","Italy","AC Milan","Roma","Sold",13000000,"Serie A","16/17"
"Kostas Manolas","Pre-Season","Defender","Greece","Olympiakos","Roma","Sold",13000000,"Serie A","14/15"
"Angelo Ogbonna","Pre-Season","Defender","Italy","Torino","Juventus","Sold",13000000,"Serie A","13/14"
"Alberto Gilardino","Pre-Season",NA,NA,"AC Milan","Fiorentina","Sold",13000000,"Serie A","08/09"
"Mancini","Pre-Season",NA,NA,"Roma","Inter Milan","Sold",13000000,"Serie A","08/09"
"Jasper Cillessen","Pre-Season","Goalkeeper","Netherlands","Ajax","Barcelona","Sold",13000000,"La Liga","16/17"
"Joaquin Correa","Pre-Season","Midfielder","Argentina","Sampdoria","Sevilla","Sold",13000000,"La Liga","16/17"
"Nicola Sansone","Pre-Season","Attacker","Italy","Sassuolo","Villarreal","Sold",13000000,"La Liga","16/17"
"Rafael van der Vaart","Pre-Season",NA,NA,"Hamburg","Real Madrid","Sold",13000000,"La Liga","08/09"
"Jordan Ayew","Pre-Season","Attacker","Ghana","Lorient","Aston Villa","Sold",13000000,"EPL","15/16"
"Virgil van Dijk","Pre-Season","Defender","Netherlands","Celtic","Southampton","Sold",13000000,"EPL","15/16"
"Gary Medel","Pre-Season","Midfielder","Chile","Sevilla","Cardiff","Sold",13000000,"EPL","13/14"
"Lukas Podolski","Pre-Season","Attacker","Germany","Koln","Arsenal","Sold",13000000,"EPL","12/13"
"Connor Wickham","Pre-Season","Attacker","England","Sunderland","Crystal Palace","Sold",12800000,"EPL","15/16"
"Jack Rodwell","Pre-Season","Midfielder","England","Manchester City","Sunderland","Sold",12600000,"EPL","14/15"
"Ideye Brown","Pre-Season","Attacker","Nigeria","Dynamo Kiev","West Bromwich","Sold",12600000,"EPL","14/15"
"Gary Medel","Pre-Season","Midfielder","Chile","Cardiff","Inter Milan","Sold",12500000,"Serie A","14/15"
"Andrea Ranocchia","Mid-Season","Defender","Italy","Genoa","Inter Milan","Sold",12500000,"Serie A","10/11"
"Divock Origi","Pre-Season","Attacker","Belgium","Lille","Liverpool","Sold",12500000,"EPL","14/15"
"Fraser Forster","Pre-Season","Goalkeeper","England","Celtic","Southampton","Sold",12500000,"EPL","14/15"
"Idrissa Gueye","Pre-Season","Midfielder","Senegal","Lille","Aston Villa","Sold",12500000,"EPL","15/16"
"Matija Nastasic","Pre-Season","Defender","Serbia","Fiorentina","Manchester City","Sold",12500000,"EPL","12/13"
"Adam Johnson","Pre-Season","Midfielder","England","Manchester City","Sunderland","Sold",12500000,"EPL","12/13"
"Jerome Boateng","Pre-Season","Defender","Germany","Hertha Berlin","Manchester City","Sold",12500000,"EPL","10/11"
"G. Heinze","Pre-Season",NA,NA,"Manchester United","Real Madrid","Sold",12000000,"La Liga","07/08"
"Sergi Darder","Pre-Season","Midfielder","Spain","Malaga","Lyon","Sold",12000000,"ROE","15/16"
"Igor Denisov","Pre-Season","Midfielder","Russia","Zenit","Anzhi","Sold",12000000,"ROE","13/14"
"Marco Verratti","Pre-Season","Midfielder","Italy","Pescara","PSG","Sold",12000000,"ROE","12/13"
"Yann MVila","Mid-Season","Midfielder","France","Rennes","Rubin Kazan","Sold",12000000,"ROE","12/13"
"Moussa Sow","Mid-Season","Attacker","Senegal","Lille","Fenerbahce","Sold",12000000,"ROE","11/12"
"Papiss Cisse","Mid-Season","Attacker","Senegal","Freiburg","Newcastle","Sold",12000000,"ROE","11/12"
"Aiden McGeady","Pre-Season","Midfielder","Scotland","Celtic","Spartak Moscow","Sold",12000000,"ROE","10/11"
